Subject,Trial,Fixation #,X_Coord,Y_Coord,ROI,feature
33.0,1.0,1.0,989.87,433.93,,"[ 4.44690093e-02 -6.51736967e-02  1.38027649e-01  1.46870313e-02
  2.79594565e-02  8.25864271e-02  8.58089882e+01 -4.49732767e-01
  7.27926001e+01  1.28322552e+01  5.39808375e+00  1.04072206e+01
  4.29000000e-01]"
33.0,1.0,2.0,996.62,450.87,,"[ 3.98236758e-02 -7.71935646e-02  2.05767234e-01  1.51635708e-02
  2.75952989e-02  1.01561721e-01  3.98463474e+01 -1.15661304e+01
  5.40173596e+01  7.20468830e+00  4.56039533e+00  9.48766229e+00
  2.07000000e-01]"
33.0,1.0,3.0,994.13,462.09,,"[ 3.92938734e-02 -4.27320292e-02  9.40304842e-02  1.57959845e-02
  2.83706779e-02  6.80168470e-02  5.35677428e+01  2.26962309e+00
  6.82830047e+01  9.33677098e+00  5.70596819e+00  1.17130039e+01
  2.27000000e-01]"
33.0,1.0,4.0,927.64,476.13,eye,"[ 4.78646544e+00 -9.83026177e+00  4.27866678e+01  2.30053733e+00
  3.72563559e+00  2.30020385e+01  4.91359597e+04 -8.92184983e+02
  1.22293951e+04  1.74914872e+04  1.78091819e+02  5.02127292e+03
  7.00000000e-03]"
33.0,1.0,5.0,1006.27,406.81,,"[ 6.76892596e-02 -9.79928796e-02  1.83027897e-01  2.15668612e-02
  3.59440856e-02  1.02034293e-01  4.91187119e+01 -2.44554085e+01
  7.57854791e+01  8.11754884e+00  5.31177926e+00  1.16839824e+01
  2.41000000e-01]"
33.0,1.0,6.0,1002.41,447.61,,"[ 4.02225792e-02 -4.17600952e-02  1.00856066e-01  1.90334347e-02
  3.22256665e-02  7.91637518e-02  4.98114122e+01 -2.40778212e+01
  9.79792010e+01  9.52833091e+00  7.13679734e+00  1.77715324e+01
  1.58000000e-01]"
33.0,1.0,7.0,918.35,476.18,eye,"[ 3.97197044e+00 -8.65571428e+00  5.77997991e+01  2.10957947e+00
  3.99233671e+00  3.53046517e+01  4.76893664e+04 -9.03174156e+02
  1.20479787e+04  1.70808658e+04  1.82004961e+02  4.92697136e+03
  6.00000000e-03]"
33.0,1.0,8.0,1074.51,458.58,,"[ 6.10776484e-02 -6.71222085e-02  1.20123085e-01  1.96903144e-02
  3.65593159e-02  8.38506007e-02  6.69848607e+01 -1.10566374e+01
  4.58527896e+01  1.15324484e+01  5.16428824e+00  7.82859476e+00
  2.35000000e-01]"
33.0,1.0,9.0,995.23,479.2,eye,"[ 4.69996744e+00 -9.76696080e+00  4.69851059e+01  2.25399749e+00
  3.87876213e+00  2.67446919e+01  4.82427134e+04 -8.92266269e+02
  1.17472532e+04  1.66157061e+04  1.75015562e+02  4.83124553e+03
  7.00000000e-03]"
33.0,1.0,10.0,997.63,500.2,eye,"[ 2.88331765e-02 -2.37929627e-02  1.04746729e-01  1.73170666e-02
  2.86957383e-02  8.04954464e-02  4.63326833e+01 -4.54616105e+00
  1.37891953e+02  9.87321852e+00  9.68450664e+00  2.97502604e+01
  1.19000000e-01]"
33.0,1.0,11.0,936.7,511.31,eye,"[ 6.22760605e+00 -1.18497517e+01  3.48356112e+01  2.29805224e+00
  3.12314737e+00  1.31487219e+01  4.77821228e+04 -8.29674007e+02
  1.11522025e+04  1.69296348e+04  1.61467232e+02  4.63547841e+03
  7.00000000e-03]"
33.0,1.0,12.0,983.75,601.27,mouth_nose,"[ 8.09109295e-02 -8.26418296e-02  1.08964240e-01  2.76195535e-02
  3.31445022e-02  6.43458415e-02  1.22131529e+02 -4.25187373e+01
  1.20542364e+02  1.82924956e+01  7.94213773e+00  1.64781309e+01
  4.13000000e-01]"
33.0,1.0,13.0,947.69,605.76,mouth_nose,"[ 5.92095725e+00 -1.02975220e+01  1.93334907e+01  1.63077963e+00
  1.77432770e+00  3.76561962e+00  5.12287419e+04 -6.86527271e+02
  8.22751188e+03  1.83339806e+04  1.42587191e+02  3.82395784e+03
  8.00000000e-03]"
33.0,1.0,14.0,1043.03,469.81,eye,"[ 3.22459517e-02 -3.62589944e-02  1.12214426e-01  1.52609317e-02
  2.97973863e-02  8.14385406e-02  4.22112288e+01 -1.00546970e+01
  6.08940554e+01  8.51845107e+00  5.91919086e+00  1.17804782e+01
  1.49000000e-01]"
33.0,1.0,15.0,960.72,502.5,eye,"[ 2.80139998e+00 -6.81166616e+00  6.45179954e+01  1.61337651e+00
  3.62379864e+00  3.96904116e+01  4.50119956e+04 -8.75488771e+02
  1.04634911e+04  1.56072963e+04  1.71214091e+02  4.31402643e+03
  6.00000000e-03]"
33.0,1.0,16.0,1073.13,454.59,,"[ 5.23056390e-02 -5.50993460e-02  1.11010194e-01  1.50855880e-02
  3.29866811e-02  7.12800958e-02  5.80344837e+01 -5.85823718e+00
  3.76489384e+01  8.90978382e+00  3.52965405e+00  5.75755276e+00
  3.67000000e-01]"
33.0,1.0,17.0,1002.21,482.15,eye,"[ 4.16890460e+00 -8.76560934e+00  6.18123477e+01  2.34460296e+00
  4.39619608e+00  4.01493771e+01  4.58692149e+04 -9.19102401e+02
  1.32122173e+04  1.57177661e+04  1.76975658e+02  5.47791313e+03
  8.00000000e-03]"
33.0,1.0,18.0,993.7,598.97,mouth_nose,"[ 6.62344685e-02 -8.88927844e-02  1.32776434e-01  1.49789347e-02
  2.05080483e-02  4.91637893e-02  4.26283481e+01 -2.22552669e+00
  3.46201812e+01  5.83247947e+00  1.82670108e+00  4.79125254e+00
  1.11900000e+00]"
33.0,1.0,19.0,1008.02,588.49,mouth_nose,"[ 5.39196736e-02 -2.75519137e-02  7.18436944e-02  2.10584917e-02
  2.90338617e-02  4.50318919e-02  7.07727015e+01 -6.77642994e+00
  8.49475635e+01  1.16647331e+01  6.02904135e+00  1.34986257e+01
  3.26000000e-01]"
33.0,1.0,20.0,992.17,571.82,mouth_nose,"[ 3.36679962e-02 -2.77370519e-02  8.22326141e-02  1.84482221e-02
  2.77928285e-02  6.26715381e-02  5.41472986e+01 -1.74538179e+01
  1.14258876e+02  1.07205990e+01  8.49339875e+00  2.22829169e+01
  1.47000000e-01]"
33.0,1.0,21.0,952.03,585.3,mouth_nose,"[ 5.52483086e+00 -1.04818831e+01  3.40867575e+01  2.57898234e+00
  3.54263255e+00  1.47889623e+01  4.56720305e+04 -9.12242684e+02
  1.66605989e+04  1.53544026e+04  1.75615384e+02  6.70375343e+03
  9.00000000e-03]"
33.0,1.0,22.0,1065.22,454.92,,"[ 3.58680405e-02 -5.35649699e-02  1.39989266e-01  1.46688120e-02
  2.91476861e-02  9.27357520e-02  7.99866386e+01 -1.66114865e+01
  1.16603574e+02  1.29086674e+01  7.75979527e+00  1.82501446e+01
  3.11000000e-01]"
33.0,1.0,23.0,989.37,483.27,eye,"[ 4.22729888e+00 -8.96433979e+00  6.23505020e+01  2.25788856e+00
  4.19385289e+00  3.75125863e+01  4.41036000e+04 -8.75539401e+02
  1.23873265e+04  1.61177085e+04  1.81083125e+02  4.94565651e+03
  7.00000000e-03]"
33.0,1.0,24.0,1006.43,565.29,mouth_nose,"[ 3.56136908e-02 -3.69539350e-02  8.11000589e-02  1.80591975e-02
  2.73775899e-02  6.38704349e-02  8.00563210e+01 -2.42031342e+01
  7.81750806e+01  1.62277895e+01  8.79364412e+00  1.54214489e+01
  1.40000000e-01]"
33.0,1.0,25.0,935.06,585.26,mouth_nose,"[ 3.91794922e+00 -8.68472490e+00  4.26019189e+01  1.99755618e+00
  3.36642422e+00  2.33350625e+01  4.91559104e+04 -9.03498779e+02
  1.32794265e+04  1.70147622e+04  1.75115187e+02  5.83187738e+03
  5.00000000e-03]"
33.0,1.0,26.0,993.64,598.3,mouth_nose,"[ 4.54007816e-02 -5.45701523e-02  1.18978349e-01  1.77036910e-02
  2.66458355e-02  6.93521685e-02  5.59830876e+01 -5.15730471e-01
  5.93382740e+01  9.66409604e+00  5.12676593e+00  1.01765394e+01
  2.57000000e-01]"
33.0,1.0,27.0,954.15,612.58,mouth_nose,"[ 5.70012128e+00 -1.06078303e+01  3.46693060e+01  2.62941534e+00
  3.61473784e+00  1.48568177e+01  4.80573707e+04 -9.49736994e+02
  1.74577466e+04  1.67756767e+04  1.87970815e+02  6.84532562e+03
  8.00000000e-03]"
33.0,1.0,28.0,1097.03,966.63,,"[ 4.08427830e-02 -2.98442112e-02  4.94048709e-02  2.33147030e-02
  2.31898806e-02  3.93161280e-02  3.59510182e+01 -1.43272203e+01
  7.91743063e+01  1.06712824e+01  8.38864419e+00  2.31371478e+01
  5.50000000e-02]"
33.0,1.0,29.0,1087.3,928.77,,"[ 1.93683721e-01 -1.23874984e-01  2.57484351e-01  1.29768374e-01
  1.21528715e-01  2.39501989e-01  7.43165138e+03  4.49928323e+02
  4.51185969e+04  2.58234065e+03  1.09221016e+02  1.61541038e+04
  6.00000000e-03]"
33.0,1.0,30.0,1041.03,951.35,,"[ 1.32719993e-01 -3.39588520e-02  3.23917160e-02  4.65342008e-02
  3.48440091e-02  2.58342682e-02  8.10829580e+01  3.49214149e+00
  7.33712706e+01  1.86337869e+01  9.96005259e+00  1.59911727e+01
  1.07000000e-01]"
33.0,1.0,31.0,1033.25,914.48,,"[ 1.57705180e-01 -1.72306786e-01  4.21173654e-01  1.03242950e-01
  1.27474974e-01  3.48463604e-01  1.19777049e+03  1.79590634e+02
  5.19151865e+04  4.79923374e+02  5.05831636e+01  1.78691211e+04
  6.00000000e-03]"
33.0,1.0,32.0,1003.11,1030.35,,"[ 5.30281059e-02 -1.98012889e-02  2.90814148e-02  3.03439846e-02
  2.28480940e-02  2.48543658e-02  1.27234443e+02 -2.37070216e+01
  1.94192906e+02  2.59989118e+01  1.56236252e+01  3.79179297e+01
  1.50000000e-01]"
33.0,1.0,33.0,1012.77,983.59,,"[ 2.06739591e+01 -7.09024897e+00  2.88716767e+00  1.49689208e+01
  3.22043822e+00  1.10340996e+00  6.77112462e+03 -4.24953370e+02
  4.87974731e+04  2.24588006e+03  9.63591116e+01  1.69436573e+04
  7.00000000e-03]"
33.0,1.0,34.0,1010.45,512.35,eye,"[ 5.76979929e-02 -2.83397860e-02  7.88745756e-02  2.65978192e-02
  3.44937185e-02  5.58941365e-02  7.01166510e+01 -1.14864122e+01
  9.20053526e+01  1.27383576e+01  8.23319178e+00  1.67232139e+01
  1.90000000e-01]"
33.0,1.0,35.0,934.68,528.9,eye,"[ 5.37030233e+00 -1.07065077e+01  3.89816830e+01  2.38085764e+00
  3.58189903e+00  1.80884881e+01  5.10440209e+04 -8.94980883e+02
  1.27951933e+04  1.80549128e+04  1.77482941e+02  5.25211842e+03
  6.00000000e-03]"
33.0,1.0,36.0,1047.68,456.5,,"[ 2.68950074e-02 -2.42475668e-02  1.22085749e-01  1.84728083e-02
  3.29808034e-02  9.69305559e-02  1.59943259e+02 -4.26122393e+01
  3.31924064e+02  2.93979865e+01  1.90869956e+01  6.16774427e+01
  1.99000000e-01]"
33.0,1.0,37.0,1071.15,457.24,,"[ 5.07782018e-02 -8.27712131e-02  1.72119686e-01  1.12262974e-02
  2.39901588e-02  7.52990021e-02  5.26916041e+01 -5.63036680e+00
  4.14731500e+01  7.15400012e+00  2.50153205e+00  5.64755159e+00
  7.87000000e-01]"
33.0,1.0,38.0,1007.13,487.31,eye,"[ 5.60882750e+00 -1.05481426e+01  5.56000024e+01  3.00144056e+00
  4.68277389e+00  3.33764937e+01  4.71750745e+04 -9.37973899e+02
  1.44764918e+04  1.64543094e+04  1.86204728e+02  5.90161467e+03
  9.00000000e-03]"
33.0,1.0,39.0,985.03,575.25,mouth_nose,"[ 4.07536575e-02 -2.05447648e-02  7.00762451e-02  2.64377922e-02
  3.12569744e-02  5.88520084e-02  5.61732164e+01 -1.35405713e+00
  9.63343264e+01  1.57325568e+01  1.15529070e+01  2.65224092e+01
  6.40000000e-02]"
33.0,2.0,1.0,1047.82,438.87,,"[ 5.57754350e-02 -6.15377805e-02  1.09516776e-01  1.54130903e-02
  2.94125330e-02  6.69530357e-02  5.47746900e+01 -7.69824272e+00
  3.65973071e+01  8.04060675e+00  3.01509360e+00  5.38171973e+00
  4.78000000e-01]"
33.0,2.0,2.0,1041.23,438.43,,"[ 5.37588694e-02 -6.41348579e-02  1.13514659e-01  1.34606571e-02
  2.61488711e-02  6.32875031e-02  8.01437673e+01 -1.16678524e+00
  5.88578865e+01  1.07103295e+01  3.35340900e+00  7.65546510e+00
  8.79000000e-01]"
33.0,2.0,3.0,1036.49,440.56,,"[ 1.73865034e-01 -3.75651190e-02  4.03876668e-01  1.48703384e-01
  9.49018620e-02  3.38503647e-01  7.85141401e+02 -8.10717674e+01
  8.43469661e+02  5.38060424e+02  9.16103170e+01  5.39576501e+02
  7.00000000e-03]"
33.0,2.0,4.0,1046.57,549.25,eye,"[ 6.89267881e-02 -7.76052193e-02  1.10329932e-01  2.09383783e-02
  2.77212022e-02  5.86386339e-02  6.12941295e+01 -6.71540212e+00
  6.65195804e+01  1.00006222e+01  5.13712990e+00  1.08054870e+01
  3.17000000e-01]"
33.0,2.0,5.0,1047.34,555.14,eye,"[ 1.15654840e-01 -2.90782458e-02  1.91479953e-01  1.01718016e-01
  6.49657104e-02  1.62032198e-01  3.39911844e+02  4.47746035e+01
  4.31505967e+02  2.29969827e+02  6.13608055e+01  2.81251080e+02
  7.00000000e-03]"
33.0,2.0,6.0,1097.19,415.27,,"[ 8.36958080e-02 -8.40150490e-02  1.46892133e-01  3.13487652e-02
  4.72776115e-02  1.02720394e-01  6.67191899e+01 -3.13261811e+01
  1.13375300e+02  1.29096758e+01  8.37470204e+00  2.02627690e+01
  1.51000000e-01]"
33.0,2.0,7.0,1108.85,432.67,,"[ 4.92999779e-02 -4.02257715e-02  1.19306363e-01  1.62397392e-02
  3.38149582e-02  6.39331098e-02  6.52500757e+01 -9.21735281e+00
  5.12260199e+01  9.78920192e+00  4.16569361e+00  7.22293926e+00
  4.24000000e-01]"
33.0,2.0,8.0,1089.44,517.13,eye,"[ 3.10051530e-01 -3.11804687e-01  3.60291933e-01  6.46727524e-02
  7.71668430e-02  1.45861986e-01  8.92405456e+01 -4.30609352e+00
  7.03954247e+01  2.22168104e+01  1.10730637e+01  1.72836572e+01
  8.60000000e-02]"
33.0,2.0,9.0,1077.96,485.91,eye,"[ 3.41343635e-02 -2.65086284e-02  1.02881493e-01  1.81055734e-02
  2.95091364e-02  7.33178734e-02  4.54240728e+01 -5.59202358e+00
  1.02066280e+02  8.75331062e+00  7.64371880e+00  2.06911326e+01
  1.55000000e-01]"
33.0,2.0,10.0,1076.5,481.43,eye,"[ 9.49745266e-02 -7.75366989e-02  8.66943814e-01  8.13922963e-02
  1.19288483e-01  4.39068783e-01  9.38321233e+02 -1.06965173e+01
  6.17296458e+01  6.82930770e+02  5.56458055e+01  4.38873385e+01
  6.00000000e-03]"
33.0,2.0,11.0,1099.08,435.38,,"[ 3.45360842e-02 -4.53414452e-02  1.21191852e-01  1.38805888e-02
  2.85469728e-02  8.57476513e-02  5.73107629e+01 -2.12953348e+01
  9.17359263e+01  9.51980951e+00  6.39080542e+00  1.44879317e+01
  2.50000000e-01]"
