subject,trial,feature,roi
1,1,"[0.955904714095643, 0.7512875912130382, 0.6761412331855077, 0.6272928038462454, 0.11624167587767065, 0.4541672378335724, 0.1682892112709159, 0.05516745289022473, 0.8667286322173229, 0.7666972665736614, 0.9949996124331351, 0.5851243168995008, 0.15098748009557872]",
1,2,"[0.9412729450720633, 0.003581637738817145, 0.2350561897946557, 0.01251792723439027, 0.8161179168981005, 0.6177243187560156, 0.3481359354337906, 0.9352197726453348, 0.6699382908369158, 0.4974065112712752, 0.4499517851774818, 0.353296513441676, 0.7402105394692822]",eye
1,3,"[0.3671744777360485, 0.7024822793101192, 0.6911155952311852, 0.26370749405914684, 0.013292346783605358, 0.33711200072005754, 0.8895048227390911, 0.19642095251232017, 0.8561491956915748, 0.38094341607914817, 0.8370830838680627, 0.7410905462521757, 0.6935147105719979]",eye
1,4,"[0.03620583297151303, 0.5031677686207603, 0.7626871780673647, 0.8362582662723838, 0.4323656609713945, 0.04278288287358645, 0.5029542489309164, 0.30904156359161183, 0.5359345436653987, 0.23904085699216882, 0.618727942234041, 0.8747769382749044, 0.9856020818200444]",
1,5,"[0.22094165055465798, 0.6648267743091519, 0.16024824473304067, 0.203545452289139, 0.019433556831914278, 0.4499782355094111, 0.4619511706821602, 0.8171220528074874, 0.5670240604570999, 0.18560787874786577, 0.2715886532547138, 0.729167458392195, 0.6987550223610025]",
1,6,"[0.3364472802873043, 0.18487576816458462, 0.7999512299388826, 0.7648564585739864, 0.8917972999132092, 0.12289881017717552, 0.4888024768736263, 0.19764395548677915, 0.02309312660853091, 0.08627570284115105, 0.9500204432426109, 0.16234322205596485, 0.65390508138237]",eye
1,7,"[0.37073406066164294, 0.773212769296502, 0.6175347895482595, 0.21701509627309312, 0.31315140111329165, 0.49057915534565577, 0.2103952906213058, 0.026601655104253386, 0.24200894109480653, 0.2601868828587012, 0.57545580108539, 0.8919480097175474, 0.7332176930819275]",
1,8,"[0.21425937481122914, 0.5767708403032231, 0.7853176020543996, 0.019648550619847382, 0.3977930099429219, 0.4116922098683785, 0.01965463571557835, 0.17020065382134186, 0.04997085036482496, 0.2881055138689521, 0.6950374686711969, 0.7243591557493397, 0.24181638476877954]",mouth
1,9,"[0.57757698849739, 0.6822254394583442, 0.6781177171841937, 0.8683378889099093, 0.9281826667513908, 0.7373213730213594, 0.3665903767428844, 0.36099051676143945, 0.591714069756183, 0.8471539003992112, 0.07230030148979827, 0.4234871181711324, 0.8717998433929378]",mouth
1,10,"[0.32507425381800614, 0.9299826094271738, 0.4218264739970995, 0.42755643025527057, 0.2728746795319964, 0.3762271418513661, 0.34019443841707075, 0.550863556585064, 0.8672436564416461, 0.3557822937545363, 0.6852512374265556, 0.7177075848789347, 0.9331370042809722]",
1,11,"[0.7986605039834678, 0.9908035106367027, 0.8414540795390085, 0.35390027080265707, 0.6722075042005319, 0.48567371669992276, 0.26126742231625877, 0.923441610691237, 0.7742779889426619, 0.7076470153097053, 0.4033201625895767, 0.19360465422714668, 0.05027172440031802]",eye
