,expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender
0,LookAtMe1.2,45,1,2,1,1,1,41,3.0,0.6926809912547469,False,stim\8 F080C + F101C.jpg,2019-02-21 09:41:22,1,1
1,LookAtMe1.2,45,1,2,1,1,2,46,3.0,0.9297869550064206,False,stim\7 F080C.jpg,2019-02-21 09:41:32,6,1
2,LookAtMe1.2,45,1,2,1,1,3,16,3.0,0.61832026951015,False,stim\2 M024C + M010C.jpg,2019-02-21 09:41:42,6,0
3,LookAtMe1.2,45,1,2,1,1,4,11,3.0,0.604988751001656,False,stim\1 M024C.jpg,2019-02-21 09:41:50,1,0
4,LookAtMe1.2,45,1,2,1,1,5,41,3.0,0.642734594643116,False,stim\8 F080C + F101C.jpg,2019-02-21 09:41:59,1,1
5,LookAtMe1.2,45,1,2,1,1,6,11,2.0,0.5033454243093729,False,stim\1 M024C.jpg,2019-02-21 09:42:08,1,0
6,LookAtMe1.2,45,1,2,1,1,7,16,2.0,0.915805522352457,False,stim\2 M024C + M010C.jpg,2019-02-21 09:42:16,6,0
7,LookAtMe1.2,45,1,2,1,1,8,46,2.0,0.756328783929348,False,stim\7 F080C.jpg,2019-02-21 09:42:24,6,1
8,LookAtMe1.2,45,1,2,1,1,9,11,1.0,-3.453995759598911,False,stim\1 M024C.jpg,2019-02-21 09:42:34,1,0
9,LookAtMe1.2,45,1,2,1,1,10,16,1.0,0.8383181178942323,False,stim\2 M024C + M010C.jpg,2019-02-21 09:42:44,6,0
10,LookAtMe1.2,45,1,2,1,1,11,46,1.0,0.5200271746143699,False,stim\7 F080C.jpg,2019-02-21 09:42:53,6,1
11,LookAtMe1.2,45,1,2,1,1,12,41,1.0,0.4409989640116691,False,stim\8 F080C + F101C.jpg,2019-02-21 09:43:01,1,1
12,LookAtMe1.2,45,1,2,1,1,13,16,1.0,0.6525208773091435,False,stim\2 M024C + M010C.jpg,2019-02-21 09:43:10,6,0
13,LookAtMe1.2,45,1,2,1,1,14,41,1.0,0.668240824714303,False,stim\8 F080C + F101C.jpg,2019-02-21 09:43:20,1,1
