expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI_change
LookAtMe,6,2,1,2,1,1,31,3.0,1.3454942237585783,False,stim\5 F053C + F048C.jpg,2018-12-20 09:30:00,1,1,eyes
LookAtMe,6,2,1,2,1,2,36,3.0,0.4910336981993168,False,stim\6 F053C.jpg,2018-12-20 09:30:09,6,1,eyes
LookAtMe,6,2,1,2,1,3,26,3.0,0.5268817786127329,False,stim\3 M078C + M057C.jpg,2018-12-20 09:30:18,6,0,mouth_nose
LookAtMe,6,2,1,2,1,4,21,3.0,0.5708524431101978,False,stim\4 M078C.jpg,2018-12-20 09:30:27,1,0,mouth_nose
LookAtMe,6,2,1,2,1,5,31,2.0,0.6180747854523361,False,stim\5 F053C + F048C.jpg,2018-12-20 09:30:38,1,1,eyes
LookAtMe,6,2,1,2,1,6,21,2.0,1.3058791609946638,False,stim\4 M078C.jpg,2018-12-20 09:30:47,1,0,mouth_nose
LookAtMe,6,2,1,2,1,7,26,2.0,0.5797980125062168,False,stim\3 M078C + M057C.jpg,2018-12-20 09:30:55,6,0,mouth_nose
LookAtMe,6,2,1,2,1,8,36,2.0,0.5565440992359072,False,stim\6 F053C.jpg,2018-12-20 09:31:04,6,1,eyes
LookAtMe,6,2,1,2,1,9,21,2.0,0.5761779595632106,False,stim\4 M078C.jpg,2018-12-20 09:31:13,1,0,mouth_nose
LookAtMe,6,2,1,2,1,10,26,2.0,0.6795129273086786,False,stim\3 M078C + M057C.jpg,2018-12-20 09:31:23,6,0,mouth_nose
LookAtMe,6,2,1,2,1,11,36,1.0,0.8522779173217714,False,stim\6 F053C.jpg,2018-12-20 09:31:32,6,1,eyes
LookAtMe,6,2,1,2,1,12,31,1.0,0.4653477871324867,False,stim\5 F053C + F048C.jpg,2018-12-20 09:31:41,1,1,eyes
LookAtMe,6,2,1,2,1,13,26,1.0,0.7817034081090242,False,stim\3 M078C + M057C.jpg,2018-12-20 09:31:50,6,0,mouth_nose
LookAtMe,6,2,1,2,1,14,31,1.0,0.4168400375638157,False,stim\5 F053C + F048C.jpg,2018-12-20 09:32:00,1,1,eyes
LookAtMe,6,2,1,2,1,15,36,1.0,0.5172400220762938,False,stim\6 F053C.jpg,2018-12-20 09:32:10,6,1,eyes
LookAtMe,6,2,1,2,1,16,21,1.0,0.7387834843248129,False,stim\4 M078C.jpg,2018-12-20 09:32:20,1,0,mouth_nose
LookAtMe,6,2,1,2,1,17,26,1.0,0.6769333991687745,True,stim\3 M078C + M057C.jpg,2018-12-20 09:32:29,6,0,mouth_nose
LookAtMe,6,2,1,2,1,18,31,1.0,0.4687106383498758,False,stim\5 F053C + F048C.jpg,2018-12-20 09:32:37,1,1,eyes
LookAtMe,6,2,1,2,1,19,21,3.0,0.5161697508301586,False,stim\4 M078C.jpg,2018-12-20 09:32:47,1,0,mouth_nose
LookAtMe,6,2,1,2,1,20,36,1.0,0.6338995974510908,True,stim\6 F053C.jpg,2018-12-20 09:32:57,6,1,eyes
LookAtMe,6,2,1,2,1,21,31,1.0,0.3843767428770661,False,stim\5 F053C + F048C.jpg,2018-12-20 09:33:06,1,1,eyes
LookAtMe,6,2,1,2,1,22,36,4.0,0.3952618408948183,True,stim\6 F053C.jpg,2018-12-20 09:33:14,6,1,eyes
LookAtMe,6,2,1,2,1,23,26,4.0,0.3431355403736233,True,stim\3 M078C + M057C.jpg,2018-12-20 09:33:22,6,0,mouth_nose
LookAtMe,6,2,1,2,1,24,21,1.0,0.9317403056193144,False,stim\4 M078C.jpg,2018-12-20 09:33:32,1,0,mouth_nose
LookAtMe,6,2,1,2,1,25,26,5.0,0.3525029686279595,False,stim\3 M078C + M057C.jpg,2018-12-20 09:33:42,6,0,mouth_nose
LookAtMe,6,2,1,2,1,26,36,4.0,0.4445057401899248,True,stim\6 F053C.jpg,2018-12-20 09:33:51,6,1,eyes
LookAtMe,6,2,1,2,1,27,31,2.0,0.4154473624657839,False,stim\5 F053C + F048C.jpg,2018-12-20 09:34:01,1,1,eyes
LookAtMe,6,2,1,2,1,28,21,1.0,0.3775530869606882,False,stim\4 M078C.jpg,2018-12-20 09:34:11,1,0,mouth_nose
LookAtMe,6,2,1,2,1,29,31,1.0,0.4925390488933772,False,stim\5 F053C + F048C.jpg,2018-12-20 09:34:21,1,1,eyes
LookAtMe,6,2,1,2,1,30,21,1.0,0.4570235880091786,False,stim\4 M078C.jpg,2018-12-20 09:34:31,1,0,mouth_nose
LookAtMe,6,2,1,2,1,31,26,5.0,0.4063311265781522,True,stim\3 M078C + M057C.jpg,2018-12-20 09:34:40,6,0,mouth_nose
LookAtMe,6,2,1,2,1,32,36,5.0,0.4325022955890745,False,stim\6 F053C.jpg,2018-12-20 09:34:48,6,1,eyes
LookAtMe,6,2,1,2,1,33,21,1.0,0.4049114095978439,False,stim\4 M078C.jpg,2018-12-20 09:34:57,1,0,mouth_nose
LookAtMe,6,2,1,2,1,34,36,1.0,0.4049567806068808,True,stim\6 F053C.jpg,2018-12-20 09:35:05,6,1,eyes
LookAtMe,6,2,1,2,1,35,26,5.0,0.4314440430607646,True,stim\3 M078C + M057C.jpg,2018-12-20 09:35:15,6,0,mouth_nose
LookAtMe,6,2,1,2,1,36,31,1.0,0.4001543810591101,False,stim\5 F053C + F048C.jpg,2018-12-20 09:35:25,1,1,eyes
LookAtMe,6,2,1,2,1,37,36,5.0,0.4428261173889041,False,stim\6 F053C.jpg,2018-12-20 09:35:34,6,1,eyes
LookAtMe,6,2,1,2,1,38,31,1.0,0.9651969515252858,False,stim\5 F053C + F048C.jpg,2018-12-20 09:35:44,1,1,eyes
LookAtMe,6,2,1,2,1,39,26,5.0,0.4418264562264085,True,stim\3 M078C + M057C.jpg,2018-12-20 09:35:54,6,0,mouth_nose
LookAtMe,6,2,1,2,1,40,21,1.0,0.3843944706022739,False,stim\4 M078C.jpg,2018-12-20 09:36:02,1,0,mouth_nose
LookAtMe,6,2,1,2,1,41,26,5.0,0.4242012326139956,False,stim\3 M078C + M057C.jpg,2018-12-20 09:36:11,6,0,mouth_nose
LookAtMe,6,2,1,2,1,42,31,,-1.0,False,stim\5 F053C + F048C.jpg,2018-12-20 09:36:21,1,1,eyes
LookAtMe,6,2,1,2,1,43,36,4.0,0.3882918565068394,True,stim\6 F053C.jpg,2018-12-20 09:36:30,6,1,eyes
LookAtMe,6,2,1,2,1,44,21,1.0,0.3615999745670706,False,stim\4 M078C.jpg,2018-12-20 09:36:40,1,0,mouth_nose
LookAtMe,6,2,1,2,1,45,26,4.0,0.4320591036230325,True,stim\3 M078C + M057C.jpg,2018-12-20 09:36:49,6,0,mouth_nose
LookAtMe,6,2,1,2,1,46,21,1.0,0.5029250676743686,False,stim\4 M078C.jpg,2018-12-20 09:36:59,1,0,mouth_nose
LookAtMe,6,2,1,2,1,47,36,4.0,0.4623941748868674,True,stim\6 F053C.jpg,2018-12-20 09:37:08,6,1,eyes
LookAtMe,6,2,1,2,1,48,31,1.0,0.4533404363319278,False,stim\5 F053C + F048C.jpg,2018-12-20 09:37:18,1,1,eyes
LookAtMe,6,2,1,2,2,49,22,,-1.0,False,stim\morph\3&4 80.jpg,2018-12-20 09:39:41,2,0,mouth_nose
LookAtMe,6,2,1,2,2,50,26,4.0,0.3846907331608236,True,stim\3 M078C + M057C.jpg,2018-12-20 09:39:49,6,0,mouth_nose
LookAtMe,6,2,1,2,2,51,25,1.0,0.8776197908446193,False,stim\morph\3&4 20.jpg,2018-12-20 09:39:59,5,0,mouth_nose
LookAtMe,6,2,1,2,2,52,24,1.0,0.3988785888068378,False,stim\morph\3&4 40.jpg,2018-12-20 09:40:07,4,0,mouth_nose
LookAtMe,6,2,1,2,2,53,26,4.0,0.3807452719192952,False,stim\3 M078C + M057C.jpg,2018-12-20 09:40:16,6,0,mouth_nose
LookAtMe,6,2,1,2,2,54,33,2.0,0.4175779898650944,False,stim\morph\5&6 40.jpg,2018-12-20 09:40:24,3,1,eyes
LookAtMe,6,2,1,2,2,55,35,2.0,0.792353238677606,False,stim\morph\5&6 80.jpg,2018-12-20 09:40:33,5,1,eyes
LookAtMe,6,2,1,2,2,56,23,4.0,0.4047761985566467,False,stim\morph\3&4 60.jpg,2018-12-20 09:40:41,3,0,mouth_nose
LookAtMe,6,2,1,2,2,57,31,4.0,0.3423798603471368,False,stim\5 F053C + F048C.jpg,2018-12-20 09:40:49,1,1,eyes
