,first layer,second layer,train,test
0,10,10,0.9986263736263735,0.5367647058823529
1,10,20,0.9986263736263735,0.5588235294117646
2,10,30,0.9972527472527474,0.5535714285714286
3,10,40,0.9977106227106228,0.5315126050420168
4,10,50,0.9986263736263735,0.5430672268907563
5,10,60,0.9967948717948717,0.5336134453781513
6,10,70,0.9986263736263735,0.5399159663865546
7,10,80,0.9986263736263735,0.532563025210084
8,10,90,0.9986263736263735,0.5441176470588235
9,10,100,0.9986263736263735,0.5546218487394958
10,10,110,0.9986263736263735,0.5388655462184874
11,10,120,0.9986263736263735,0.5273109243697479
12,10,130,0.9981684981684982,0.5399159663865546
13,10,140,0.9986263736263735,0.5273109243697478
14,10,150,0.9986263736263735,0.5441176470588235
15,10,160,0.9986263736263735,0.5241596638655461
16,10,170,0.9986263736263735,0.5525210084033614
17,10,180,0.9986263736263735,0.5504201680672269
18,10,190,0.9986263736263735,0.5535714285714285
19,10,200,0.9986263736263735,0.5357142857142857
20,10,210,0.9986263736263735,0.5304621848739496
21,10,220,0.9986263736263735,0.5462184873949579
22,10,230,0.9986263736263735,0.5357142857142857
23,10,240,0.9986263736263735,0.5388655462184874
24,10,250,0.9986263736263735,0.5409663865546218
25,10,260,0.9986263736263735,0.5388655462184874
26,10,270,0.9986263736263735,0.5441176470588235
27,10,280,0.9986263736263735,0.5378151260504201
28,10,290,0.9986263736263735,0.5336134453781513
29,20,10,0.9940476190476192,0.5630252100840336
30,20,20,0.9986263736263735,0.5409663865546218
31,20,30,0.9986263736263735,0.5493697478991597
32,20,40,0.9986263736263735,0.5346638655462185
33,20,50,0.9986263736263735,0.5430672268907563
34,20,60,0.9986263736263735,0.5493697478991596
35,20,70,0.9986263736263735,0.5472689075630252
36,20,80,0.9986263736263735,0.5451680672268907
37,20,90,0.9986263736263735,0.5493697478991596
38,20,100,0.9986263736263735,0.5262605042016807
39,20,110,0.9986263736263735,0.5493697478991596
40,20,120,0.9986263736263735,0.5388655462184875
41,20,130,0.9986263736263735,0.5441176470588235
42,20,140,0.9986263736263735,0.5336134453781513
43,20,150,0.9986263736263735,0.542016806722689
44,20,160,0.9986263736263735,0.5483193277310924
45,20,170,0.9986263736263735,0.5472689075630252
46,20,180,0.9986263736263735,0.532563025210084
47,20,190,0.9986263736263735,0.5535714285714285
48,20,200,0.9986263736263735,0.5514705882352942
49,20,210,0.9986263736263735,0.5504201680672268
50,20,220,0.9986263736263735,0.5378151260504201
51,20,230,0.9986263736263735,0.5409663865546218
52,20,240,0.9986263736263735,0.5441176470588235
53,20,250,0.9986263736263735,0.5357142857142857
54,20,260,0.9986263736263735,0.5336134453781513
55,20,270,0.9986263736263735,0.5336134453781513
56,20,280,0.9986263736263735,0.5472689075630252
57,20,290,0.9986263736263735,0.5430672268907563
58,30,10,0.9977106227106228,0.5504201680672268
59,30,20,0.9986263736263735,0.5409663865546218
60,30,30,0.9986263736263735,0.5567226890756302
61,30,40,0.9986263736263735,0.5525210084033613
62,30,50,0.9986263736263735,0.5493697478991597
63,30,60,0.9986263736263735,0.5619747899159664
64,30,70,0.9986263736263735,0.5441176470588235
65,30,80,0.9986263736263735,0.5588235294117647
66,30,90,0.9986263736263735,0.5556722689075629
67,30,100,0.9986263736263735,0.5472689075630252
68,30,110,0.9986263736263735,0.5483193277310924
69,30,120,0.9986263736263735,0.5556722689075629
70,30,130,0.9986263736263735,0.5357142857142857
71,30,140,0.9986263736263735,0.5514705882352942
72,30,150,0.9986263736263735,0.5598739495798319
73,30,160,0.9986263736263735,0.5504201680672269
74,30,170,0.9986263736263735,0.5577731092436975
75,30,180,0.9986263736263735,0.5262605042016807
76,30,190,0.9986263736263735,0.5577731092436975
77,30,200,0.9986263736263735,0.5472689075630252
78,30,210,0.9986263736263735,0.5535714285714286
79,30,220,0.9986263736263735,0.5546218487394957
