,first layer,second layer,train,test
0,10,10,0.9995421245421247,0.592436974789916
1,10,20,0.9995361781076068,0.5808823529411765
2,10,30,1.0,0.5997899159663865
3,10,40,1.0,0.6092436974789918
4,10,50,0.9990783026497312,0.6144957983193278
5,10,60,1.0,0.6113445378151262
6,10,70,1.0,0.5987394957983193
7,10,80,0.9995421245421247,0.629201680672269
8,10,90,0.9990783026497312,0.6008403361344538
9,10,100,0.9995421245421247,0.6081932773109243
10,10,110,1.0,0.6144957983193278
11,10,120,0.9995421245421247,0.6176470588235293
12,10,130,0.9986204271918557,0.6102941176470588
13,10,140,0.9995421245421247,0.6092436974789915
14,10,150,0.9995421245421247,0.5934873949579832
15,10,160,0.9995421245421247,0.6123949579831933
16,10,170,0.9995421245421247,0.6102941176470589
17,10,180,0.9995421245421247,0.6186974789915967
18,10,190,0.9990842490842491,0.5987394957983192
19,10,200,0.9995361781076068,0.6228991596638656
20,10,210,1.0,0.6218487394957984
21,10,220,0.9995421245421247,0.6018907563025211
22,10,230,0.9995361781076068,0.6092436974789915
23,10,240,0.9995421245421247,0.6081932773109243
24,10,250,0.9995421245421247,0.6008403361344536
25,10,260,1.0,0.6008403361344538
26,10,270,1.0,0.6134453781512607
27,10,280,0.9995361781076068,0.6092436974789915
28,10,290,0.9995421245421247,0.5955882352941176
29,20,10,0.9995421245421247,0.6092436974789915
30,20,20,1.0,0.588235294117647
31,20,30,1.0,0.6050420168067226
32,20,40,1.0,0.5955882352941176
33,20,50,1.0,0.6165966386554622
34,20,60,1.0,0.6123949579831933
35,20,70,1.0,0.5976890756302521
36,20,80,1.0,0.6155462184873951
37,20,90,1.0,0.6060924369747899
38,20,100,1.0,0.6060924369747899
39,20,110,1.0,0.6029411764705882
40,20,120,1.0,0.601890756302521
41,20,130,1.0,0.6102941176470589
42,20,140,1.0,0.5945378151260504
43,20,150,1.0,0.5913865546218487
44,20,160,1.0,0.6113445378151259
45,20,170,1.0,0.5987394957983192
46,20,180,1.0,0.6176470588235293
47,20,190,1.0,0.5913865546218487
48,20,200,1.0,0.6050420168067229
49,20,210,1.0,0.6092436974789915
50,20,220,1.0,0.6144957983193278
51,20,230,1.0,0.6060924369747899
52,20,240,1.0,0.6060924369747899
53,20,250,1.0,0.6050420168067226
54,20,260,1.0,0.5976890756302521
55,20,270,1.0,0.5987394957983193
56,20,280,1.0,0.6144957983193277
57,20,290,1.0,0.601890756302521
58,30,10,0.9986144807573378,0.6050420168067226
59,30,20,1.0,0.620798319327731
60,30,30,1.0,0.6176470588235293
61,30,40,1.0,0.6155462184873949
62,30,50,1.0,0.6228991596638657
63,30,60,1.0,0.6060924369747899
64,30,70,1.0,0.611344537815126
65,30,80,1.0,0.6155462184873949
66,30,90,1.0,0.6197478991596638
67,30,100,1.0,0.6355042016806722
68,30,110,1.0,0.6123949579831932
69,30,120,1.0,0.6081932773109243
70,30,130,1.0,0.625
71,30,140,1.0,0.6029411764705881
72,30,150,1.0,0.6134453781512604
73,30,160,1.0,0.6218487394957984
74,30,170,1.0,0.6239495798319327
75,30,180,1.0,0.625
76,30,190,1.0,0.6228991596638656
77,30,200,1.0,0.6081932773109244
78,30,210,1.0,0.6218487394957984
79,30,220,1.0,0.6029411764705882
80,30,230,1.0,0.6081932773109244
81,30,240,1.0,0.6228991596638656
82,30,250,1.0,0.6165966386554622
83,30,260,1.0,0.6039915966386555
84,30,270,1.0,0.6071428571428571
85,30,280,1.0,0.6144957983193278
86,30,290,1.0,0.601890756302521
87,40,10,1.0,0.6092436974789915
88,40,20,1.0,0.6155462184873949
89,40,30,1.0,0.6092436974789918
90,40,40,1.0,0.60609243697479
91,40,50,1.0,0.6008403361344538
92,40,60,1.0,0.6155462184873951
93,40,70,1.0,0.6071428571428571
94,40,80,1.0,0.6134453781512604
95,40,90,1.0,0.6134453781512607
96,40,100,1.0,0.5976890756302521
97,40,110,1.0,0.6186974789915967
98,40,120,1.0,0.6123949579831933
99,40,130,1.0,0.6176470588235293
100,40,140,1.0,0.6134453781512607
101,40,150,1.0,0.6113445378151262
102,40,160,1.0,0.5966386554621849
103,40,170,1.0,0.6176470588235295
104,40,180,1.0,0.6081932773109244
105,40,190,1.0,0.6050420168067226
106,40,200,1.0,0.6050420168067226
107,40,210,1.0,0.6081932773109244
108,40,220,1.0,0.6207983193277311
109,40,230,1.0,0.611344537815126
110,40,240,1.0,0.6186974789915967
111,40,250,1.0,0.6092436974789915
112,40,260,1.0,0.5966386554621849
113,40,270,1.0,0.6102941176470588
114,40,280,1.0,0.6123949579831932
115,40,290,1.0,0.6144957983193277
116,50,10,1.0,0.611344537815126
117,50,20,1.0,0.6071428571428571
118,50,30,1.0,0.6029411764705882
119,50,40,1.0,0.601890756302521
120,50,50,1.0,0.6081932773109244
121,50,60,1.0,0.5997899159663865
122,50,70,1.0,0.6239495798319327
123,50,80,1.0,0.611344537815126
124,50,90,1.0,0.6144957983193278
125,50,100,1.0,0.6071428571428571
126,50,110,1.0,0.6344537815126051
127,50,120,1.0,0.6123949579831933
128,50,130,1.0,0.6029411764705881
129,50,140,1.0,0.6176470588235293
130,50,150,1.0,0.6176470588235293
131,50,160,1.0,0.6155462184873948
132,50,170,1.0,0.6050420168067225
133,50,180,1.0,0.6134453781512607
134,50,190,1.0,0.6228991596638656
135,50,200,1.0,0.6176470588235293
136,50,210,1.0,0.6218487394957982
137,50,220,1.0,0.6207983193277311
138,50,230,1.0,0.6228991596638654
139,50,240,1.0,0.6060924369747899
140,50,250,1.0,0.6176470588235293
141,50,260,1.0,0.6060924369747899
142,50,270,1.0,0.6102941176470588
143,50,280,1.0,0.6029411764705881
144,50,290,1.0,0.6134453781512604
145,60,10,1.0,0.6165966386554622
146,60,20,1.0,0.6102941176470589
147,60,30,1.0,0.611344537815126
148,60,40,1.0,0.6144957983193278
149,60,50,1.0,0.5976890756302521
150,60,60,1.0,0.6239495798319327
151,60,70,1.0,0.6155462184873951
152,60,80,1.0,0.619747899159664
153,60,90,1.0,0.6123949579831933
154,60,100,1.0,0.6207983193277312
155,60,110,1.0,0.611344537815126
156,60,120,1.0,0.6092436974789918
157,60,130,1.0,0.6176470588235295
158,60,140,1.0,0.6134453781512607
159,60,150,1.0,0.6071428571428571
160,60,160,1.0,0.6081932773109243
161,60,170,1.0,0.6039915966386554
162,60,180,1.0,0.611344537815126
163,60,190,1.0,0.6197478991596638
164,60,200,1.0,0.6081932773109243
165,60,210,1.0,0.6071428571428571
166,60,220,1.0,0.6081932773109244
167,60,230,1.0,0.6218487394957984
168,60,240,1.0,0.6081932773109244
169,60,250,1.0,0.6071428571428573
170,60,260,1.0,0.6029411764705882
171,60,270,1.0,0.5987394957983193
172,60,280,1.0,0.619747899159664
173,60,290,1.0,0.6018907563025211
174,70,10,1.0,0.6039915966386555
175,70,20,1.0,0.6218487394957982
176,70,30,1.0,0.6207983193277311
177,70,40,1.0,0.629201680672269
178,70,50,1.0,0.6144957983193278
179,70,60,1.0,0.6176470588235295
