subject,k,fold,feature,train,test
1,2,0,gaze,0.4606741573033708,0.782608695652174
1,2,1,gaze,0.4606741573033708,0.391304347826087
1,2,2,gaze,0.43820224719101125,0.30434782608695654
1,6,0,gaze,0.5842696629213483,0.43478260869565216
1,6,1,gaze,0.5056179775280899,0.5652173913043478
1,6,2,gaze,0.5617977528089888,0.30434782608695654
1,10,0,gaze,0.5280898876404494,0.6521739130434783
1,10,1,gaze,0.5280898876404494,0.5652173913043478
1,10,2,gaze,0.4157303370786517,0.5217391304347826
1,12,0,gaze,0.4943820224719101,0.6521739130434783
1,12,1,gaze,0.5168539325842697,0.5217391304347826
1,12,2,gaze,0.5842696629213483,0.5217391304347826
1,15,0,gaze,0.4943820224719101,0.5217391304347826
1,15,1,gaze,0.5842696629213483,0.5217391304347826
1,15,2,gaze,0.5955056179775281,0.5652173913043478
1,20,0,gaze,0.6404494382022472,0.34782608695652173
1,20,1,gaze,0.5280898876404494,0.4782608695652174
1,20,2,gaze,0.5280898876404494,0.391304347826087
1,23,0,gaze,0.4606741573033708,0.5652173913043478
1,23,1,gaze,0.550561797752809,0.5217391304347826
1,23,2,gaze,0.6067415730337079,0.5217391304347826
2,2,0,gaze,0.6067415730337079,0.43478260869565216
2,2,1,gaze,0.5280898876404494,0.34782608695652173
2,2,2,gaze,0.5280898876404494,0.4782608695652174
2,6,0,gaze,0.5393258426966292,0.30434782608695654
2,6,1,gaze,0.6629213483146067,0.5652173913043478
2,6,2,gaze,0.5280898876404494,0.7391304347826086
2,10,0,gaze,0.5056179775280899,0.5652173913043478
2,10,1,gaze,0.5955056179775281,0.5652173913043478
2,10,2,gaze,0.43820224719101125,0.391304347826087
2,12,0,gaze,0.5056179775280899,0.4782608695652174
2,12,1,gaze,0.5955056179775281,0.4782608695652174
2,12,2,gaze,0.4943820224719101,0.5217391304347826
2,15,0,gaze,0.5393258426966292,0.30434782608695654
2,15,1,gaze,0.5730337078651685,0.5652173913043478
2,15,2,gaze,0.5280898876404494,0.5652173913043478
2,20,0,gaze,0.5056179775280899,0.5652173913043478
2,20,1,gaze,0.5280898876404494,0.4782608695652174
2,20,2,gaze,0.5393258426966292,0.391304347826087
2,23,0,gaze,0.5393258426966292,0.782608695652174
2,23,1,gaze,0.5393258426966292,0.43478260869565216
2,23,2,gaze,0.5168539325842697,0.43478260869565216
4,2,0,gaze,0.5056179775280899,0.5217391304347826
4,2,1,gaze,0.5168539325842697,0.5217391304347826
4,2,2,gaze,0.5842696629213483,0.391304347826087
4,6,0,gaze,0.5168539325842697,0.4782608695652174
4,6,1,gaze,0.5168539325842697,0.5652173913043478
4,6,2,gaze,0.4943820224719101,0.5652173913043478
4,10,0,gaze,0.4606741573033708,0.34782608695652173
4,10,1,gaze,0.4943820224719101,0.5652173913043478
4,10,2,gaze,0.6179775280898876,0.4782608695652174
4,12,0,gaze,0.5280898876404494,0.391304347826087
4,12,1,gaze,0.4943820224719101,0.43478260869565216
4,12,2,gaze,0.5168539325842697,0.4782608695652174
4,15,0,gaze,0.5280898876404494,0.34782608695652173
4,15,1,gaze,0.5056179775280899,0.43478260869565216
4,15,2,gaze,0.47191011235955055,0.391304347826087
4,20,0,gaze,0.4943820224719101,0.5217391304347826
4,20,1,gaze,0.5393258426966292,0.5217391304347826
4,20,2,gaze,0.5168539325842697,0.5652173913043478
4,23,0,gaze,0.5393258426966292,0.391304347826087
4,23,1,gaze,0.550561797752809,0.5217391304347826
4,23,2,gaze,0.5393258426966292,0.43478260869565216
5,2,0,gaze,0.6179775280898876,0.4782608695652174
5,2,1,gaze,0.5617977528089888,0.5217391304347826
5,2,2,gaze,0.5842696629213483,0.6086956521739131
5,6,0,gaze,0.5393258426966292,0.5217391304347826
5,6,1,gaze,0.449438202247191,0.5652173913043478
5,6,2,gaze,0.5955056179775281,0.391304347826087
5,10,0,gaze,0.42696629213483145,0.43478260869565216
5,10,1,gaze,0.4943820224719101,0.4782608695652174
5,10,2,gaze,0.6067415730337079,0.5217391304347826
5,12,0,gaze,0.5955056179775281,0.4782608695652174
5,12,1,gaze,0.5955056179775281,0.6086956521739131
5,12,2,gaze,0.5842696629213483,0.34782608695652173
5,15,0,gaze,0.6179775280898876,0.4782608695652174
5,15,1,gaze,0.4044943820224719,0.5652173913043478
5,15,2,gaze,0.449438202247191,0.34782608695652173
5,20,0,gaze,0.550561797752809,0.5217391304347826
5,20,1,gaze,0.5730337078651685,0.5652173913043478
5,20,2,gaze,0.5617977528089888,0.5217391304347826
5,23,0,gaze,0.5393258426966292,0.6086956521739131
5,23,1,gaze,0.5280898876404494,0.6956521739130435
5,23,2,gaze,0.47191011235955055,0.4782608695652174
6,2,0,gaze,0.30337078651685395,0.30434782608695654
6,2,1,gaze,0.6067415730337079,0.5652173913043478
6,2,2,gaze,0.3146067415730337,0.30434782608695654
6,6,0,gaze,0.449438202247191,0.5652173913043478
6,6,1,gaze,0.6067415730337079,0.5652173913043478
6,6,2,gaze,0.6404494382022472,0.5217391304347826
6,10,0,gaze,0.5393258426966292,0.6086956521739131
