,first layer,second layer,third layer,train,test
0,10,10,10,0.9971929824561403,0.596078431372549
1,10,10,20,0.9992982456140351,0.5764705882352941
2,10,10,30,1.0,0.5803921568627451
3,10,10,40,1.0,0.580392156862745
4,10,10,50,1.0,0.6078431372549019
5,10,10,60,0.9992982456140351,0.6000000000000001
6,10,10,70,1.0,0.596078431372549
7,10,10,80,0.9992982456140351,0.5529411764705882
8,10,10,90,1.0,0.611764705882353
9,10,10,100,1.0,0.6235294117647058
10,10,10,110,1.0,0.5647058823529412
11,10,10,120,1.0,0.6039215686274509
12,10,10,130,1.0,0.6235294117647058
13,10,10,140,1.0,0.5568627450980391
14,10,20,10,0.9971929824561403,0.584313725490196
15,10,20,20,1.0,0.5725490196078431
16,10,20,30,1.0,0.5725490196078431
17,10,20,40,1.0,0.6078431372549019
18,10,20,50,0.9992982456140351,0.5450980392156862
19,10,20,60,0.9992982456140351,0.592156862745098
20,10,20,70,1.0,0.580392156862745
21,10,20,80,1.0,0.592156862745098
22,10,20,90,1.0,0.5764705882352941
23,10,20,100,1.0,0.6078431372549019
24,10,20,110,1.0,0.6078431372549019
25,10,20,120,1.0,0.6039215686274509
26,10,20,130,0.9992982456140351,0.584313725490196
27,10,20,140,1.0,0.5725490196078431
28,10,30,10,1.0,0.607843137254902
29,10,30,20,1.0,0.5843137254901961
30,10,30,30,1.0,0.611764705882353
31,10,30,40,1.0,0.5882352941176471
32,10,30,50,1.0,0.6000000000000001
33,10,30,60,1.0,0.6274509803921569
34,10,30,70,1.0,0.5999999999999999
35,10,30,80,1.0,0.5725490196078431
36,10,30,90,1.0,0.5764705882352941
37,10,30,100,1.0,0.5686274509803921
38,10,30,110,1.0,0.5686274509803921
39,10,30,120,1.0,0.6078431372549018
40,10,30,130,1.0,0.584313725490196
41,10,30,140,1.0,0.5607843137254903
42,10,40,10,1.0,0.6196078431372548
43,10,40,20,1.0,0.5999999999999999
44,10,40,30,1.0,0.603921568627451
45,10,40,40,1.0,0.5882352941176471
46,10,40,50,1.0,0.6039215686274509
47,10,40,60,1.0,0.5882352941176471
48,10,40,70,1.0,0.5764705882352942
49,10,40,80,1.0,0.5725490196078431
50,10,40,90,1.0,0.6039215686274509
51,10,40,100,1.0,0.5843137254901961
52,10,40,110,1.0,0.6078431372549019
53,10,40,120,1.0,0.6313725490196078
54,10,40,130,1.0,0.6039215686274509
55,10,40,140,1.0,0.596078431372549
56,10,50,10,1.0,0.5647058823529413
57,10,50,20,1.0,0.6431372549019607
58,10,50,30,1.0,0.5803921568627451
59,10,50,40,1.0,0.5803921568627451
60,10,50,50,1.0,0.6196078431372549
61,10,50,60,1.0,0.596078431372549
62,10,50,70,1.0,0.607843137254902
63,10,50,80,1.0,0.5764705882352941
64,10,50,90,1.0,0.5568627450980391
65,10,50,100,1.0,0.5686274509803922
66,10,50,110,1.0,0.5725490196078431
67,10,50,120,1.0,0.5843137254901959
68,10,50,130,1.0,0.5882352941176471
69,10,50,140,1.0,0.6274509803921569
70,10,60,10,0.9992982456140351,0.5764705882352941
71,10,60,20,1.0,0.6196078431372548
72,10,60,30,1.0,0.580392156862745
73,10,60,40,1.0,0.5803921568627451
74,10,60,50,1.0,0.611764705882353
75,10,60,60,1.0,0.6
76,10,60,70,1.0,0.6039215686274509
77,10,60,80,1.0,0.5568627450980392
78,10,60,90,1.0,0.592156862745098
79,10,60,100,1.0,0.607843137254902
80,10,60,110,1.0,0.6235294117647059
81,10,60,120,1.0,0.5764705882352942
82,10,60,130,1.0,0.6
83,10,60,140,1.0,0.6117647058823529
84,10,70,10,1.0,0.5686274509803921
85,10,70,20,1.0,0.5725490196078431
86,10,70,30,1.0,0.6431372549019606
87,10,70,40,1.0,0.5764705882352941
88,10,70,50,1.0,0.5764705882352941
89,10,70,60,1.0,0.6235294117647058
90,10,70,70,1.0,0.592156862745098
91,10,70,80,1.0,0.5764705882352941
92,10,70,90,1.0,0.5764705882352942
