,first layer,second layer,train,test
0,10,10,0.9985964912280703,0.6039215686274512
1,10,20,0.9992982456140351,0.5921568627450982
2,10,30,0.9992982456140351,0.588235294117647
3,10,40,1.0,0.5764705882352942
4,10,50,1.0,0.6117647058823529
5,10,60,1.0,0.5882352941176471
6,10,70,1.0,0.6039215686274509
7,10,80,1.0,0.6431372549019607
8,10,90,1.0,0.592156862745098
9,10,100,1.0,0.6352941176470588
10,10,110,1.0,0.6431372549019607
11,10,120,1.0,0.596078431372549
12,10,130,1.0,0.6235294117647058
13,10,140,1.0,0.611764705882353
14,20,10,1.0,0.6
15,20,20,1.0,0.6274509803921569
16,20,30,1.0,0.6352941176470588
17,20,40,1.0,0.6431372549019607
18,20,50,1.0,0.6156862745098038
19,20,60,1.0,0.6196078431372548
20,20,70,1.0,0.6196078431372548
21,20,80,1.0,0.6078431372549018
22,20,90,1.0,0.6156862745098038
23,20,100,1.0,0.6235294117647059
24,20,110,1.0,0.6313725490196078
25,20,120,1.0,0.6470588235294117
26,20,130,1.0,0.6352941176470588
27,20,140,1.0,0.6431372549019607
28,30,10,1.0,0.6392156862745098
29,30,20,1.0,0.607843137254902
30,30,30,1.0,0.6392156862745098
31,30,40,1.0,0.6431372549019607
32,30,50,1.0,0.6431372549019607
33,30,60,1.0,0.5647058823529412
34,30,70,1.0,0.6431372549019607
35,30,80,1.0,0.6156862745098038
36,30,90,1.0,0.603921568627451
37,30,100,1.0,0.6313725490196078
38,30,110,1.0,0.6196078431372548
39,30,120,1.0,0.6352941176470588
40,30,130,1.0,0.6431372549019607
41,30,140,1.0,0.6235294117647058
42,40,10,1.0,0.6313725490196078
43,40,20,1.0,0.6392156862745098
44,40,30,1.0,0.611764705882353
45,40,40,1.0,0.6313725490196079
46,40,50,1.0,0.6274509803921567
47,40,60,1.0,0.6470588235294117
48,40,70,1.0,0.6274509803921567
49,40,80,1.0,0.6274509803921569
50,40,90,1.0,0.6392156862745098
51,40,100,1.0,0.6196078431372548
52,40,110,1.0,0.615686274509804
53,40,120,1.0,0.6274509803921569
54,40,130,1.0,0.6549019607843136
55,40,140,1.0,0.6392156862745098
56,50,10,1.0,0.6274509803921569
57,50,20,1.0,0.6352941176470587
58,50,30,1.0,0.6313725490196077
59,50,40,1.0,0.6235294117647058
60,50,50,1.0,0.6431372549019607
61,50,60,1.0,0.6235294117647058
62,50,70,1.0,0.6196078431372548
63,50,80,1.0,0.6431372549019607
64,50,90,1.0,0.6235294117647058
65,50,100,1.0,0.6117647058823529
66,50,110,1.0,0.6
67,50,120,1.0,0.6117647058823529
68,50,130,1.0,0.6313725490196078
69,50,140,1.0,0.6117647058823529
70,60,10,1.0,0.6392156862745098
71,60,20,1.0,0.6509803921568627
72,60,30,1.0,0.6274509803921567
73,60,40,1.0,0.6196078431372548
74,60,50,1.0,0.6588235294117647
75,60,60,1.0,0.6196078431372548
76,60,70,1.0,0.6470588235294117
77,60,80,1.0,0.6431372549019606
78,60,90,1.0,0.6392156862745096
79,60,100,1.0,0.6431372549019606
80,60,110,1.0,0.6745098039215685
81,60,120,1.0,0.6509803921568627
82,60,130,1.0,0.6431372549019606
83,60,140,1.0,0.6470588235294116
84,70,10,1.0,0.6196078431372548
85,70,20,1.0,0.6274509803921569
86,70,30,1.0,0.6431372549019607
87,70,40,1.0,0.6352941176470587
88,70,50,1.0,0.6431372549019606
89,70,60,1.0,0.6392156862745098
90,70,70,1.0,0.6470588235294117
91,70,80,1.0,0.6431372549019607
92,70,90,1.0,0.6235294117647059
93,70,100,1.0,0.6274509803921567
94,70,110,1.0,0.6352941176470587
95,70,120,1.0,0.6392156862745096
96,70,130,1.0,0.6274509803921567
97,70,140,1.0,0.6313725490196077
98,80,10,1.0,0.6666666666666666
99,80,20,1.0,0.6274509803921569
100,80,30,1.0,0.6549019607843136
101,80,40,1.0,0.6392156862745098
102,80,50,1.0,0.6588235294117648
103,80,60,1.0,0.6078431372549019
104,80,70,1.0,0.6274509803921569
105,80,80,1.0,0.6313725490196077
106,80,90,1.0,0.6235294117647058
