subject,k,fold,train,test
2,2,0,0.5280898876404494,0.43478260869565216
2,2,1,0.5730337078651685,0.4782608695652174
2,2,2,0.6179775280898876,0.5217391304347826
2,2,3,0.5842696629213483,0.6086956521739131
2,2,4,0.6067415730337079,0.4782608695652174
2,2,5,0.5393258426966292,0.5217391304347826
2,2,6,0.6067415730337079,0.43478260869565216
2,2,7,0.5617977528089888,0.5652173913043478
2,2,8,0.5842696629213483,0.43478260869565216
2,2,9,0.5730337078651685,0.4782608695652174
2,3,0,0.5056179775280899,0.5652173913043478
2,3,1,0.5280898876404494,0.5217391304347826
2,3,2,0.6404494382022472,0.4782608695652174
2,3,3,0.550561797752809,0.5652173913043478
2,3,4,0.550561797752809,0.5652173913043478
2,3,5,0.5168539325842697,0.5652173913043478
2,3,6,0.5393258426966292,0.4782608695652174
2,3,7,0.550561797752809,0.43478260869565216
2,3,8,0.5617977528089888,0.5217391304347826
2,3,9,0.5617977528089888,0.4782608695652174
2,4,0,0.5730337078651685,0.5217391304347826
2,4,1,0.6179775280898876,0.5217391304347826
2,4,2,0.6292134831460674,0.4782608695652174
2,4,3,0.5617977528089888,0.43478260869565216
2,4,4,0.6292134831460674,0.43478260869565216
2,4,5,0.5617977528089888,0.4782608695652174
2,4,6,0.5955056179775281,0.4782608695652174
2,4,7,0.5393258426966292,0.5217391304347826
2,4,8,0.5730337078651685,0.5217391304347826
2,4,9,0.5393258426966292,0.4782608695652174
2,5,0,0.5955056179775281,0.4782608695652174
2,5,1,0.5730337078651685,0.5217391304347826
2,5,2,0.6741573033707865,0.5217391304347826
2,5,3,0.5842696629213483,0.4782608695652174
2,5,4,0.5955056179775281,0.4782608695652174
2,5,5,0.5955056179775281,0.5217391304347826
2,5,6,0.6404494382022472,0.4782608695652174
2,5,7,0.5730337078651685,0.4782608695652174
2,5,8,0.6292134831460674,0.43478260869565216
2,5,9,0.5280898876404494,0.4782608695652174
2,6,0,0.6292134831460674,0.5217391304347826
2,6,1,0.5730337078651685,0.5217391304347826
2,6,2,0.6404494382022472,0.4782608695652174
2,6,3,0.6179775280898876,0.5217391304347826
2,6,4,0.5955056179775281,0.5217391304347826
2,6,5,0.550561797752809,0.5217391304347826
2,6,6,0.651685393258427,0.4782608695652174
2,6,7,0.550561797752809,0.4782608695652174
2,6,8,0.6179775280898876,0.4782608695652174
2,6,9,0.5730337078651685,0.4782608695652174
2,7,0,0.6292134831460674,0.5217391304347826
2,7,1,0.5842696629213483,0.4782608695652174
2,7,2,0.6853932584269663,0.43478260869565216
2,7,3,0.5842696629213483,0.5217391304347826
2,7,4,0.5955056179775281,0.5217391304347826
2,7,5,0.6179775280898876,0.4782608695652174
2,7,6,0.6179775280898876,0.43478260869565216
2,7,7,0.5730337078651685,0.4782608695652174
2,7,8,0.6404494382022472,0.4782608695652174
2,7,9,0.5617977528089888,0.5217391304347826
2,8,0,0.6404494382022472,0.5217391304347826
2,8,1,0.6067415730337079,0.5217391304347826
2,8,2,0.7078651685393258,0.5217391304347826
2,8,3,0.5842696629213483,0.391304347826087
2,8,4,0.6179775280898876,0.5217391304347826
2,8,5,0.6179775280898876,0.4782608695652174
2,8,6,0.6741573033707865,0.43478260869565216
2,8,7,0.5955056179775281,0.4782608695652174
2,8,8,0.6853932584269663,0.5217391304347826
2,8,9,0.6179775280898876,0.5652173913043478
2,9,0,0.6292134831460674,0.4782608695652174
2,9,1,0.5955056179775281,0.4782608695652174
2,9,2,0.7191011235955056,0.4782608695652174
2,9,3,0.5617977528089888,0.5217391304347826
2,9,4,0.6067415730337079,0.5652173913043478
2,9,5,0.6629213483146067,0.4782608695652174
2,9,6,0.6853932584269663,0.43478260869565216
2,9,7,0.6179775280898876,0.6086956521739131
2,9,8,0.6067415730337079,0.5217391304347826
2,9,9,0.651685393258427,0.5217391304347826
4,2,0,0.5168539325842697,0.4782608695652174
4,2,1,0.5730337078651685,0.4782608695652174
4,2,2,0.5056179775280899,0.4782608695652174
4,2,3,0.5617977528089888,0.5217391304347826
4,2,4,0.47191011235955055,0.5217391304347826
4,2,5,0.5168539325842697,0.4782608695652174
4,2,6,0.6179775280898876,0.4782608695652174
4,2,7,0.5168539325842697,0.4782608695652174
4,2,8,0.5393258426966292,0.5217391304347826
4,2,9,0.5955056179775281,0.4782608695652174
4,3,0,0.48314606741573035,0.391304347826087
4,3,1,0.5168539325842697,0.4782608695652174
4,3,2,0.4943820224719101,0.4782608695652174
4,3,3,0.5280898876404494,0.5217391304347826
4,3,4,0.5168539325842697,0.4782608695652174
4,3,5,0.5280898876404494,0.5217391304347826
4,3,6,0.5730337078651685,0.5217391304347826
4,3,7,0.5168539325842697,0.5217391304347826
4,3,8,0.5393258426966292,0.5217391304347826
