,subject,trial,rating,shock
0,2,1,3.0,False
1,2,2,3.0,False
2,2,3,3.0,False
3,2,4,3.0,False
4,2,5,3.0,False
5,2,6,2.0,False
6,2,7,3.0,False
7,2,8,2.0,False
8,2,9,2.0,False
9,2,10,2.0,False
10,2,11,2.0,False
11,2,12,2.0,False
12,2,13,1.0,False
13,2,14,2.0,False
14,2,15,2.0,False
15,2,16,1.0,False
16,2,17,1.0,True
17,2,18,2.0,False
18,2,19,2.0,False
19,2,20,2.0,True
20,2,21,2.0,False
21,2,22,3.0,True
22,2,23,4.0,True
23,2,24,1.0,False
24,2,25,4.0,False
25,2,26,4.0,True
26,2,27,1.0,False
27,2,28,1.0,False
28,2,29,1.0,False
29,2,30,1.0,False
30,2,31,4.0,True
31,2,32,5.0,False
32,2,33,1.0,False
33,2,34,4.0,True
34,2,35,4.0,True
35,2,36,1.0,False
36,2,37,5.0,False
37,2,38,1.0,False
38,2,39,4.0,True
39,2,40,1.0,False
40,2,41,5.0,False
41,2,42,1.0,False
42,2,43,4.0,True
43,2,44,1.0,False
44,2,45,5.0,True
45,2,46,1.0,False
46,2,47,4.0,True
47,2,48,1.0,False
48,2,49,3.0,False
49,2,50,3.0,True
50,2,51,3.0,False
51,2,52,3.0,False
52,2,53,4.0,False
53,2,54,3.0,False
54,2,55,3.0,False
55,2,56,3.0,False
56,2,57,3.0,False
57,2,58,3.0,True
58,2,59,3.0,False
59,2,60,3.0,False
60,2,61,3.0,False
61,2,62,3.0,False
62,2,63,3.0,False
63,2,64,3.0,False
64,2,65,3.0,False
65,2,66,3.0,True
66,2,67,2.0,False
67,2,68,3.0,True
68,2,69,2.0,False
69,2,70,4.0,False
70,2,71,4.0,False
71,2,72,2.0,False
72,2,73,2.0,False
73,2,74,2.0,False
74,2,75,2.0,False
75,2,76,2.0,False
76,2,77,2.0,False
77,2,78,3.0,False
78,2,79,3.0,False
79,2,80,1.0,False
80,2,81,5.0,True
81,2,82,5.0,False
82,2,83,2.0,False
83,2,84,4.0,False
84,2,85,2.0,False
85,2,86,4.0,False
86,2,87,4.0,True
87,2,88,4.0,False
88,2,89,2.0,False
89,2,90,1.0,False
90,2,91,1.0,False
91,2,92,1.0,False
92,2,93,4.0,False
93,2,94,3.0,False
94,2,95,1.0,False
95,2,96,4.0,True
96,2,97,1.0,False
97,2,98,1.0,False
98,2,99,5.0,False
99,2,100,1.0,False
100,2,101,3.0,True
101,2,102,4.0,False
102,2,103,4.0,False
103,2,104,2.0,False
104,2,105,1.0,False
105,2,106,5.0,False
106,2,107,1.0,False
107,2,108,4.0,True
108,2,109,1.0,False
109,2,110,1.0,False
110,2,111,1.0,False
111,2,112,4.0,False
112,2,113,1.0,False
113,2,114,3.0,False
114,2,115,1.0,False
115,2,116,4.0,True
116,2,117,1.0,False
117,2,118,4.0,False
118,2,119,3.0,False
119,2,120,1.0,False
120,2,121,1.0,False
121,2,122,4.0,False
122,2,123,4.0,False
123,2,124,3.0,True
124,2,125,1.0,False
125,2,126,1.0,False
126,2,127,1.0,False
127,2,128,1.0,False
128,2,129,4.0,True
129,2,130,4.0,False
130,2,131,1.0,False
131,2,132,1.0,False
132,2,133,5.0,False
133,2,134,1.0,False
134,2,135,1.0,False
135,2,136,1.0,False
136,2,137,4.0,False
137,2,138,4.0,True
138,2,139,1.0,False
139,2,140,1.0,False
140,2,141,1.0,False
141,2,142,1.0,False
142,2,143,5.0,True
143,2,144,1.0,False
144,2,145,1.0,False
145,2,146,5.0,True
146,2,147,1.0,False
147,2,148,1.0,False
148,2,149,1.0,False
149,2,150,1.0,False
150,2,151,4.0,True
151,2,152,1.0,False
152,2,153,1.0,False
153,2,154,5.0,False
154,2,155,1.0,False
155,2,156,1.0,False
156,2,157,1.0,False
157,2,158,1.0,False
158,2,159,1.0,False
159,2,160,4.0,False
0,4,1,1.0,False
1,4,2,1.0,False
2,4,3,3.0,False
3,4,4,1.0,False
4,4,5,3.0,False
5,4,6,1.0,False
6,4,7,3.0,False
7,4,8,1.0,False
8,4,9,1.0,False
9,4,10,1.0,False
10,4,11,1.0,False
11,4,12,1.0,False
12,4,13,1.0,False
13,4,14,1.0,False
14,4,15,1.0,False
15,4,16,1.0,False
16,4,17,1.0,True
17,4,18,1.0,False
18,4,19,4.0,False
19,4,20,1.0,True
20,4,21,2.0,False
21,4,22,4.0,True
22,4,23,5.0,True
23,4,24,2.0,False
24,4,25,5.0,False
25,4,26,4.0,True
26,4,27,2.0,False
27,4,28,4.0,False
28,4,29,4.0,False
29,4,30,,False
30,4,31,5.0,True
31,4,32,4.0,False
32,4,33,3.0,False
33,4,34,5.0,True
34,4,35,5.0,True
35,4,36,2.0,False
36,4,37,5.0,False
37,4,38,1.0,False
38,4,39,5.0,True
39,4,40,1.0,False
40,4,41,5.0,False
41,4,42,3.0,False
42,4,43,5.0,True
43,4,44,1.0,False
44,4,45,5.0,True
45,4,46,3.0,False
46,4,47,3.0,True
47,4,48,1.0,False
48,4,49,1.0,False
49,4,50,1.0,True
50,4,51,1.0,False
51,4,52,4.0,False
52,4,53,4.0,False
53,4,54,1.0,False
54,4,55,1.0,False
55,4,56,3.0,False
56,4,57,1.0,False
57,4,58,1.0,True
58,4,59,3.0,False
59,4,60,4.0,False
60,4,61,4.0,False
61,4,62,4.0,False
62,4,63,4.0,False
63,4,64,3.0,False
64,4,65,3.0,False
65,4,66,4.0,True
66,4,67,2.0,False
67,4,68,2.0,True
68,4,69,4.0,False
69,4,70,4.0,False
70,4,71,3.0,False
71,4,72,3.0,False
72,4,73,4.0,False
73,4,74,2.0,False
74,4,75,4.0,False
75,4,76,3.0,False
76,4,77,2.0,False
77,4,78,2.0,False
78,4,79,3.0,False
79,4,80,2.0,False
80,4,81,,True
81,4,82,1.0,False
82,4,83,2.0,False
83,4,84,1.0,False
84,4,85,1.0,False
85,4,86,5.0,False
86,4,87,2.0,True
87,4,88,3.0,False
88,4,89,4.0,False
89,4,90,1.0,False
90,4,91,5.0,False
91,4,92,1.0,False
92,4,93,4.0,False
93,4,94,3.0,False
94,4,95,3.0,False
95,4,96,4.0,True
96,4,97,2.0,False
97,4,98,3.0,False
98,4,99,5.0,False
99,4,100,,False
100,4,101,5.0,True
101,4,102,5.0,False
102,4,103,4.0,False
103,4,104,3.0,False
104,4,105,3.0,False
105,4,106,3.0,False
106,4,107,3.0,False
107,4,108,5.0,True
108,4,109,,False
109,4,110,1.0,False
110,4,111,2.0,False
111,4,112,5.0,False
112,4,113,2.0,False
113,4,114,2.0,False
114,4,115,1.0,False
115,4,116,4.0,True
116,4,117,1.0,False
117,4,118,2.0,False
118,4,119,1.0,False
119,4,120,2.0,False
120,4,121,2.0,False
121,4,122,3.0,False
122,4,123,5.0,False
123,4,124,4.0,True
124,4,125,2.0,False
125,4,126,1.0,False
126,4,127,1.0,False
127,4,128,1.0,False
128,4,129,4.0,True
129,4,130,3.0,False
130,4,131,5.0,False
131,4,132,3.0,False
132,4,133,2.0,False
133,4,134,1.0,False
134,4,135,1.0,False
135,4,136,1.0,False
136,4,137,5.0,False
137,4,138,2.0,True
138,4,139,4.0,False
139,4,140,1.0,False
